Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,71363,0.0,0.02,1430,0.4871,733,3.3436,,21343,0.0344,,,,Historical calendar year
2022,73838,0.0347,0.0398,2936,0.1607,2464,3.2962,751,22401,0.11,1851,,,Historical calendar year
2023,78681,0.0656,0.0394,3103,0.2189,2424,3.7205,1302,21148,0.1146,4857,,,Historical calendar year
2024,83761,0.0646,0.0485,4063,0.1995,3253,3.5757,1421,23425,0.1389,4254,,,Historical calendar year
2025,81026,-0.0327,0.0425,3445,0.2303,2652,3.459,-791,23425,0.1132,3647,,,Historical ttm
2025,85228,0.0519,0.05,4261,0.22,3324,3.5,599,24024,0.1384,2725,0.9434,2571,Projected calendar year
2026,89394,0.0489,0.05,4470,0.22,3486,3.5,628,24652,0.1414,2858,0.89,2544,Projected calendar year
2027,93497,0.0459,0.05,4675,0.22,3646,3.5,657,25310,0.1441,2989,0.8396,2510,Projected calendar year
2028,97508,0.0429,0.05,4875,0.22,3803,3.5,685,25995,0.1463,3117,0.7921,2469,Projected calendar year
2029,101401,0.0399,0.05,5070,0.22,3955,3.5,713,26708,0.1481,3242,0.7473,2423,Projected calendar year
,,0.025,,,,,,,,,94941,0.7473,70945,Terminal value
