Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,19426,0.0,0.3221,6258,0.2259,4844,1.849,,10506,0.4611,,,,Historical calendar year
2022,22579,0.1623,0.279,6299,0.2319,4838,0.8493,3713,26586,0.182,3877,,,Historical calendar year
2023,24500,0.0851,0.272,6663,0.2061,5289,0.6814,2819,35955,0.1471,12927,,,Historical calendar year
2024,27030,0.1033,0.266,7190,0.21,5680,0.6794,3724,39783,0.1428,-990,,,Historical calendar year
2025,27794,0.0283,0.2634,7321,0.3003,5123,0.6867,1113,40477,0.1266,-1370,,,Historical ttm
2025,29740,0.07,0.2567,7635,0.22,5955,0.6493,2996,43473,0.137,2959,0.9434,2791,Projected calendar year
2026,31821,0.07,0.25,7957,0.22,6206,0.612,3402,46875,0.1324,2805,0.89,2496,Projected calendar year
2027,34049,0.07,0.2434,8286,0.22,6463,0.5747,3876,50751,0.1274,2587,0.8396,2172,Projected calendar year
2028,36432,0.07,0.2367,8623,0.22,6726,0.5373,4436,55187,0.1219,2290,0.7921,1814,Projected calendar year
2029,38983,0.07,0.23,8966,0.22,6993,0.5,5101,60287,0.116,1893,0.7473,1415,Projected calendar year
,,0.025,,,,,,,,,55436,0.7473,41425,Terminal value
