Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,19426,0.0,0.3221,6258,0.2259,4844,1.849,,10506,0.4611,,,,Historical calendar year
2022,22579,0.1623,0.279,6299,0.2319,4838,0.8493,3713,26586,0.182,3877,,,Historical calendar year
2023,24500,0.0851,0.272,6663,0.2061,5289,0.6814,2819,35955,0.1471,12927,,,Historical calendar year
2024,27030,0.1033,0.266,7190,0.21,5680,0.6794,3724,39783,0.1428,-990,,,Historical calendar year
2025,27794,0.0283,0.2634,7321,0.3003,5123,0.6867,1113,40477,0.1266,-1370,,,Historical ttm
2025,31029,0.1164,0.2567,7966,0.22,6213,0.6493,4983,45460,0.1367,1231,0.9434,1161,Projected calendar year
2026,34641,0.1164,0.25,8662,0.22,6756,0.612,5902,51361,0.1315,854,0.89,760,Projected calendar year
2027,38674,0.1164,0.2434,9412,0.22,7341,0.5747,7017,58378,0.1258,324,0.8396,272,Projected calendar year
2028,43175,0.1164,0.2367,10219,0.22,7971,0.5373,8378,66756,0.1194,-407,0.7921,-323,Projected calendar year
2029,48201,0.1164,0.23,11086,0.22,8647,0.5,10051,76807,0.1126,-1404,0.7473,-1049,Projected calendar year
,,0.025,,,,,,,,,-41122,0.7473,-30729,Terminal value
