Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,19426,0.0,0.3221,6258,0.2259,4844,1.849,,10506,0.4611,,,,Historical calendar year
2022,22579,0.1623,0.279,6299,0.2319,4838,0.8493,3713,26586,0.182,3877,,,Historical calendar year
2023,24500,0.0851,0.272,6663,0.2061,5289,0.6814,2819,35955,0.1471,12927,,,Historical calendar year
2024,27030,0.1033,0.266,7190,0.21,5680,0.6794,3724,39783,0.1428,-990,,,Historical calendar year
2025,27794,0.0283,0.2634,7321,0.3003,5123,0.6867,1113,40477,0.1266,-1370,,,Historical ttm
2025,30775,0.1073,0.2567,7901,0.22,6163,0.6493,4591,45068,0.1367,1571,0.9434,1482,Projected calendar year
2026,33795,0.0981,0.25,8450,0.22,6591,0.612,4934,50003,0.1318,1657,0.89,1475,Projected calendar year
2027,36802,0.089,0.2434,8956,0.22,6986,0.5747,5233,55235,0.1265,1753,0.8396,1472,Projected calendar year
2028,39740,0.0798,0.2367,9406,0.22,7337,0.5373,5468,60704,0.1209,1868,0.7921,1480,Projected calendar year
2029,42550,0.0707,0.23,9787,0.22,7634,0.5,5619,66323,0.1151,2014,0.7473,1505,Projected calendar year
,,0.025,,,,,,,,,58984,0.7473,44076,Terminal value
