Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,17905,0.0,0.1994,3570,0.2167,2796,1.2893,,13887,0.2571,,,,Historical calendar year
2022,19705,0.1005,0.1582,3118,0.2224,2425,1.0775,1671,18288,0.1705,1137,,,Historical calendar year
2023,21601,0.0962,0.198,4276,0.2462,3223,0.9121,2079,23684,0.1805,-388,,,Historical calendar year
2024,22419,0.0379,0.1948,4368,0.2217,3399,0.8507,962,26355,0.1657,2751,,,Historical calendar year
2025,22419,0.0,0.1948,4368,0.2217,3399,0.8507,0,26355,0.1657,2751,,,Historical ttm
2025,24045,0.0725,0.1939,4662,0.22,3636,0.8205,1982,28337,0.1645,1654,0.941,1557,Projected calendar year
2026,25663,0.0673,0.1929,4950,0.22,3861,0.7904,2046,30383,0.1629,1815,0.8855,1607,Projected calendar year
2027,27253,0.062,0.1919,5231,0.22,4080,0.7603,2092,32475,0.1611,1988,0.8333,1657,Projected calendar year
2028,28798,0.0567,0.191,5499,0.22,4290,0.7301,2116,34591,0.159,2173,0.7842,1704,Projected calendar year
2029,30279,0.0514,0.19,5753,0.22,4487,0.7,2115,36706,0.1567,2372,0.7379,1751,Projected calendar year
,,0.025,,,,,,,,,64557,0.7379,47639,Terminal value
