Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,17905,0.0,0.1994,3570,0.2167,2796,1.2893,,13887,0.2571,,,,Historical calendar year
2022,19705,0.1005,0.1582,3118,0.2224,2425,1.0775,1671,18288,0.1705,1137,,,Historical calendar year
2023,21601,0.0962,0.198,4276,0.2462,3223,0.9121,2079,23684,0.1805,-388,,,Historical calendar year
2024,22419,0.0379,0.1948,4368,0.2217,3399,0.8507,962,26355,0.1657,2751,,,Historical calendar year
2025,22419,0.0,0.1948,4368,0.2217,3399,0.8507,0,26355,0.1657,2751,,,Historical ttm
2025,23887,0.0655,0.1939,4631,0.22,3612,0.8205,1790,28145,0.1645,1823,0.941,1715,Projected calendar year
2026,25345,0.061,0.1929,4889,0.22,3813,0.7904,1844,29988,0.163,1970,0.8855,1744,Projected calendar year
2027,26777,0.0565,0.1919,5139,0.22,4009,0.7603,1884,31872,0.1613,2125,0.8333,1771,Projected calendar year
2028,28169,0.052,0.191,5379,0.22,4196,0.7301,1907,33779,0.1593,2289,0.7842,1795,Projected calendar year
2029,29507,0.0475,0.19,5606,0.22,4373,0.7,1911,35690,0.1571,2461,0.7379,1816,Projected calendar year
,,0.025,,,,,,,,,66986,0.7379,49431,Terminal value
