Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,17905,0.0,0.1994,3570,0.2167,2796,1.2893,,13887,0.2571,,,,Historical calendar year
2022,19705,0.1005,0.1582,3118,0.2224,2425,1.0775,1671,18288,0.1705,1137,,,Historical calendar year
2023,21601,0.0962,0.198,4276,0.2462,3223,0.9121,2079,23684,0.1805,-388,,,Historical calendar year
2024,22419,0.0379,0.1948,4368,0.2217,3399,0.8507,962,26355,0.1657,2751,,,Historical calendar year
2025,22419,0.0,0.1948,4368,0.2217,3399,0.8507,0,26355,0.1657,2751,,,Historical ttm
2025,24164,0.0778,0.1939,4685,0.22,3654,0.8205,2126,28481,0.1645,1528,0.941,1438,Projected calendar year
2026,26044,0.0778,0.1929,5024,0.22,3919,0.7904,2379,30861,0.1628,1540,0.8855,1363,Projected calendar year
2027,28071,0.0778,0.1919,5388,0.22,4202,0.7603,2666,33526,0.1607,1537,0.8333,1280,Projected calendar year
2028,30256,0.0778,0.191,5778,0.22,4507,0.7301,2992,36518,0.1582,1515,0.7842,1188,Projected calendar year
2029,32610,0.0778,0.19,6196,0.22,4833,0.7,3364,39882,0.1554,1469,0.7379,1084,Projected calendar year
,,0.025,,,,,,,,,39981,0.7379,29504,Terminal value
